id,type,latitude,longitude,date,killedOrWounded,droneCount,killed,wounded,casualtyKnown,titleEN,titleFR,descriptionEN,descriptionFR,sources,imageUrl,imageCaptionEN,imageCaptionFR,videoUrl,videoCaption,department,commune,sectionCommunale,locality,identifiant
23,incident,18.53722954,-72.35466003,2025-05-06,0,2,0,0,FALSE,2 explosive drones in Village de Dieu,2 drones explosifs à Village de Dieu,Officers from several specialised PNH units fired explosive drones against the GCO base 5 Segonn.,Des agents de plusieurs unités spécialisées de la PNH ont tiré des drones explosifs contre la base du GCO 5 Segonn.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:6bb33cc6
24,incident,18.52639771,-72.35605621,2025-05-06,0,2,0,0,FALSE,2 explosive drones in Grand Ravine,2 drones explosifs à Grand Ravine,Of the agents of the PNH of various specialised units have launched several explosive drones toward of the GCO base Gran Ravin.,Des agents de la PNH de différentes unités spécialisées ont lancé plusieurs drones explosifs en direction de la base du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Grand Ravine,hti:c6cf684e
25,incident,18.54732704,-72.33959198,2025-05-08,0,3,0,0,FALSE,3 explosive drones in Port-au-Prince,3 drones explosifs à Port-au-Prince,PNH officers used at least of three explosive drones against positions of the members of GCO of Grand Ravin in downtown.,Des membres de la PNH ont fait usage d'au moins de trois drones explosifs contre des positions des membres de GCO de Grand Ravin au centre-ville.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Port-au-Prince,hti:2e01a1c8
26,incident,18.41867828,-72.30337524,2025-05-10,0,2,0,0,FALSE,2 explosive drones in Furcy,2 drones explosifs à Furcy,"PNH officers launched explosive drones to push back the members of the coalition of GCO Viv Ansanm, including 5 Segonn.","Des agents de la PNH ont lancé des drones explosifs pour repousser les membres de la coalition du GCO Viv Ansanm, dont 5 Segonn.",,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Furcy,hti:a828447c
27,incident,18.53579712,-72.33976746,2025-05-13,0,1,0,0,FALSE,1 explosive drone in Bas Peu De Choses,1 drone explosif à Bas Peu De Choses,"PNH officers launched at least a explosive drone in a zone occupée by of the members of GCO, including 5 Segonn.","Des agents de la PNH ont lancé au moins un drone explosif dans une zone occupée par des membres du GCO, dont 5 Segonn.",,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Bas Peu De Choses,hti:16222ea2
28,incident,18.55572891,-72.31098938,2025-05-13,0,2,0,0,FALSE,2 explosive drones in Delmas 19,2 drones explosifs à Delmas 19,PNH officers launched several explosive drones during an intervention visant à push back the members of GCO Simon Pelé.,Des agents de la PNH ont lancé plusieurs drones explosifs lors d'une intervention visant à repousser les membres du GCO Simon Pelé.,,,,,,,Ouest,Delmas,1re Section St Martin,Delmas 19,hti:7ccdbe6f
29,incident,18.53722954,-72.35466003,2025-05-16,1,2,1,0,TRUE,1 killed in Village de Dieu,1 tué à Village de Dieu,Security forces attacked to the moyen of explosive drones of the members of GCO 5 Segonn. At least a of the members died of his injuries.,Les forces de l'ordre ont attaqué au moyen de drones explosifs des membres du GCO 5 Segonn. Au moins un des membres a succombé à ses blessures.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:f32491a7
30,incident,18.54732704,-72.33959198,2025-05-20,0,2,0,0,FALSE,2 explosive drones in Port-au-Prince,2 drones explosifs à Port-au-Prince,PNH officers attacked and launched several explosive drones toward of the members of GCO 5 Segonn and Gran Ravin to push them back and limit their advance.,Des agents de la PNH ont attaqué et lancé plusieurs drones explosifs en direction des membres du GCO 5 Segonn et Gran Ravin pour les repousser et limiter leur progression.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Port-au-Prince,hti:153842be
31,incident,18.53722954,-72.35466003,2025-05-20,0,1,0,0,FALSE,1 explosive drone in Village de Dieu,1 drone explosif à Village de Dieu,PNH officers launched at least a explosive drone against the GCO base 5 Segonn.,Des agents de la PNH ont lancé au moins un drone explosif contre la base du GCO 5 Segonn.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:9cbef6fe
32,incident,18.51743889,-72.23699188,2025-05-22,0,5,0,0,FALSE,5 explosive drones in Pernier,5 drones explosifs à Pernier,Specialised PNH officers launched at least five explosive drones against the GCO base Kraze Baryè during an intervention.,Des agents spécialisés de la PNH ont lancé au moins cinq drones explosifs contre la base du GCO Kraze Baryè lors d'une intervention.,,,,,,,Ouest,Pétion-Ville,5e Section Bellevue Chardonnière,Pernier,hti:a52639c0
33,incident,18.54146767,-72.24023438,2025-05-22,0,2,0,0,FALSE,2 explosive drones in Torcelle,2 drones explosifs à Torcelle,PNH officers launched explosive drones on the GCO base Kraze Baryè during an intervention. Of the material damage have been observés.,Des agents de la PNH ont lancé des drones explosifs sur la base du GCO Kraze Baryè lors d'une intervention. Des dommages matériels ont été observés.,,,,,,,Ouest,Tabarre,2e Section Bellevue,Torcelle,hti:c3bcc3e4
34,incident,18.54146767,-72.24023438,2025-05-23,16,2,7,9,TRUE,"7 killed, 9 wounded in Torcelle","7 tués, 9 blessés à Torcelle","PNH officers carried out an attack against the GCO base Kraze Baryè en lançant plusieurs explosive drones. The toll includes at least seven members of GCO tués and nine woundeds, including the leader. Of the véhicules and of the maisons servant of cachette to the members of GCO have also been détruits.","Des agents de la PNH ont mené une attaque contre la base du GCO Kraze Baryè en lançant plusieurs drones explosifs. Le bilan indique au moins sept membres du GCO tués et neuf blessés, y compris le chef. Des véhicules et des maisons servant de cachette aux membres du GCO ont également été détruits.",,,,,,,Ouest,Tabarre,2e Section Bellevue,Torcelle,hti:ce5fb6b4
35,incident,18.53722954,-72.35466003,2025-05-25,22,2,2,20,TRUE,"2 killed, 20 wounded in Village de Dieu","2 tués, 20 blessés à Village de Dieu","PNH officers attacked and launched several explosive drones against the GCO base 5 Segonn. At least two présumés members of GCO were killed and at least 20 autres woundeds, including four women. Of the material damage have also been rapportés, with houses destroyed.","Des agents de la PNH ont attaqué et lancé plusieurs drones explosifs contre la base du GCO 5 Segonn. Au moins deux présumés membres du GCO ont été tués et au moins 20 autres blessés, dont quatre femmes. Des dommages matériels ont également été rapportés, avec des maisons détruites.",,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:3ab06c53
36,incident,18.52639771,-72.35605621,2025-06-01,0,2,0,0,FALSE,2 explosive drones in Grand Ravine,2 drones explosifs à Grand Ravine,PNH officers launched at least two drones toward of the GCO base Gran Ravin.,Des agents de la PNH ont lancé au moins deux drones en direction de la base du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Grand Ravine,hti:04e75a6d
37,incident,18.53722954,-72.35466003,2025-06-01,0,2,0,0,FALSE,2 explosive drones in Village de Dieu,2 drones explosifs à Village de Dieu,PNH officers attacked and launched drones toward of the GCO base 5 Segonn.,Des agents de la PNH ont attaqué et lancé des drones en direction de la base du GCO 5 Segonn.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:c28274d8
38,incident,18.51023865,-72.19997406,2025-06-07,0,2,0,0,FALSE,2 explosive drones in Dumay,2 drones explosifs à Dumay,Specialised PNH officers carried out an intervention and launched of the drones toward of the members of GCO Kraze Baryè. The latter managed to flee and abandoned the vehicle they were travelling in.,Des agents spécialisés de la PNH ont mené une intervention et lancé des drones en direction des membres du GCO Kraze Baryè. Ces derniers ont réussi à prendre la fuite et ont abandonné le véhicule à bord duquel il circulait.,,,,,,,Ouest,Croix-Des-Bouquets,3e Section Petit Bois,Dumay,hti:d2fe8a3d
39,incident,18.53350449,-72.3385849,2025-06-09,0,2,0,0,FALSE,2 explosive drones in Bas Peu De Choses,2 drones explosifs à Bas Peu De Choses,PNH officers launched explosive drones toward of the members of GCO Gran Ravin.,Des agents de la PNH ont lancé des drones explosifs en direction des membres de GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Bas Peu De Choses,hti:ba60a4de
40,incident,18.53722954,-72.35466003,2025-06-10,0,2,0,0,FALSE,2 explosive drones in Village de Dieu,2 drones explosifs à Village de Dieu,Specialised PNH officers fired several explosive drones toward of the GCO base 5 Segonn.,Des agents spécialisés de la PNH ont tiré plusieurs drones explosifs en direction de la base du GCO 5 Segonn.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:587460b2
41,incident,18.52639771,-72.35605621,2025-06-10,6,8,6,0,TRUE,6 killed in Grand Ravine,6 tués à Grand Ravine,PNH officers launched at least eight drones against the GCO base Gran Ravin.,Des agents de la PNH ont lancé au moins huit drones contre la base du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Grand Ravine,hti:5dcf10dc
42,incident,18.52661896,-72.35037994,2025-06-10,0,2,0,0,FALSE,2 explosive drones in Fort-Mercredi,2 drones explosifs à Fort-Mercredi,"Specialised PNH officers launched several explosive drones against a of the bases of GCO Gran Ravin. During these explosions, plusieurs maisons appartenant to the members of GCO have been détruites.","Des agents spécialisés de la PNH ont lancé plusieurs drones explosifs contre une des bases du GCO Gran Ravin. Lors de ces explosions, plusieurs maisons appartenant aux membres du GCO ont été détruites.",,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Fort-Mercredi,hti:db852710
43,incident,18.52639771,-72.35605621,2025-06-12,3,8,3,0,TRUE,3 killed in Grand Ravine,3 tués à Grand Ravine,PNH officers launched at least eight drones against the GCO base of Gran Ravin. At least 3 présumés members of GCO were wounded.,Des agents de la PNH ont lancé au moins huit drones contre la base du GCO de Gran Ravin. Au moins 3 présumés membres du GCO ont été blessés.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Grand Ravine,hti:0db4358b
44,incident,18.52422714,-72.34825134,2025-06-12,0,1,0,0,FALSE,1 explosive drone in Carrefour Feuilles,1 drone explosif à Carrefour Feuilles,The unités spécialisées of the PNH have launched at least a explosive drone towards members of GCO Gran Ravin during an operation aimed at pushing them back d'a neighbourhood.,Les unités spécialisées de la PNH ont lancé au moins un drone explosif en direction des membres du GCO Gran Ravin lors d'une opération visant à les repousser d'un quartier.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Carrefour Feuilles,hti:21e68037
45,incident,18.53200531,-72.3331604,2025-06-12,0,2,0,0,FALSE,2 explosive drones in Pacot,2 drones explosifs à Pacot,Officers from various specialised PNH units tiré and used explosive drones on of the members of GCO Gran Ravin during an operation aimed at pushing them back d'a neighbourhood they had stormed for more than two months.,Des agents de différentes unités spécialisées de la PNH ont tiré et utilisé des drones explosifs sur des membres du GCO Gran Ravin lors d'une opération visant à les repousser d'un quartier qu'ils avaient pris d'assaut depuis plus de deux mois.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Pacot,hti:61477202
46,incident,18.52639771,-72.35605621,2025-06-18,0,2,0,0,FALSE,2 explosive drones in Grand Ravine,2 drones explosifs à Grand Ravine,PNH officers launched explosive drones toward of the GCO base Gran Ravin.,Des agents de la PNH ont lancé des drones explosifs en direction de la base du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Grand Ravine,hti:c65de828
47,incident,18.52736855,-72.35704803,2025-06-21,2,3,2,0,TRUE,2 killed in Martissant,2 tués à Martissant,Haitian National Police officers launched at least three drones toward of the GCO base Gran Ravin. At least two members of GCO Gran Ravin tués.,Des agents de la Police nationale d’Haïti ont lancé au moins trois drones en direction de la base du GCO Gran Ravin. Au moins deux membres du GCO Gran Ravin tués.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Martissant,hti:cd577a44
48,incident,18.53037071,-72.34946442,2025-06-29,0,4,0,0,FALSE,4 explosive drones in Bolosse,4 drones explosifs à Bolosse,Haitian National Police officers launched at least four drones toward of the GCO base Gran Ravin.,Des agents de la Police nationale d’Haïti ont lancé au moins quatre drones en direction de la base du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Bolosse,hti:ec337857
49,incident,18.53350449,-72.3385849,2025-07-07,0,1,0,0,FALSE,1 explosive drone in Bas Peu De Choses,1 drone explosif à Bas Peu De Choses,PNH officers dû faire usage d’a explosive drone to push back the members of GCO.,Des agents de la PNH ont dû faire usage d’un drone explosif pour repousser les membres du GCO.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Bas Peu De Choses,hti:da1d83f6
50,incident,18.45088768,-72.29759216,2025-07-13,0,8,0,0,FALSE,8 explosive drones in Via,8 drones explosifs à Via,"PNH officers launched at least 8 explosive drones to push back of the members of GCO, including 5 Segonn, during an operation.","Des agents de la PNH ont lancé au moins 8 drones explosifs pour repousser des membres de GCO, dont 5 Segonn, lors d'une opération.",,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Via,hti:033511fc
51,incident,18.44772911,-72.30667877,2025-07-13,0,2,0,0,FALSE,2 explosive drones in Godet,2 drones explosifs à Godet,"Specialised PNH officers deployed explosive drones against members of GCO, including 5 Segonn, during an operation visant à regain control a locality.","Des agents spécialisés de la PNH ont déployé des drones explosifs contre des membres de GCO, dont 5 Segonn, lors d’une opération visant à reprendre le contrôle d’une localité.",,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Godet,hti:997e92c2
52,incident,18.44772911,-72.30667877,2025-07-15,0,2,0,0,FALSE,2 explosive drones in Godet,2 drones explosifs à Godet,"Specialised PNH units used explosive drones to strike of the members of GCO, including 5 Segonn, during an intervention destinée à the déloger a locality.","Des unités spécialisées de la PNH ont utilisé des drones explosifs pour frapper des membres de GCO, incluant 5 Segonn, au cours d’une intervention destinée à les déloger d’une localité.",,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Godet,hti:a66cfee3
53,incident,18.45088768,-72.29759216,2025-07-15,0,4,0,0,FALSE,4 explosive drones in Via,4 drones explosifs à Via,Haitian National Police officers launched at least 4 drones toward of GCO 5 Segonn in the area.,Des agents de la Police nationale d’Haïti ont lancé au moins 4 drones en direction du GCO 5 Segonn dans la zone.,,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Via,hti:b16d7dc3
54,incident,18.45902824,-72.32546234,2025-07-17,0,4,0,0,FALSE,4 explosive drones in Belo,4 drones explosifs à Belo,Haitian National Police officers launched at least four drones toward of the members of GCO 5 Segonn.,Des agents de la Police nationale d’Haïti ont lancé au moins quatre drones en direction des membres du GCO 5 Segonn.,,,,,,,Ouest,Kenscoff,2e Section Bongars,Belo,hti:ca5e2c1b
55,incident,18.43814087,-72.27217865,2025-07-22,0,2,0,0,FALSE,2 explosive drones in Obléon,2 drones explosifs à Obléon,Specialised PNH units launched an offensive and deployed of the explosive drones to target of the members of GCO 5 Segonn hiding in the mountains.,Des unités spécialisées de la PNH ont lancé une offensive et déployé des drones explosifs pour cibler des membres du GCO 5 Segonn cachés dans les montagnes.,,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Obléon,hti:01f1984e
56,incident,18.45070648,-72.3387146,2025-07-22,0,2,0,0,FALSE,2 explosive drones in Belo,2 drones explosifs à Belo,Specialised PNH units used explosive drones to strike of the members of GCO 5 Segonn holed up in the mountains.,Des unités spécialisées de la PNH ont utilisé des drones explosifs pour frapper des membres du GCO 5 Segonn retranchés dans les montagnes.,,,,,,,Ouest,Kenscoff,2e Section Bongars,Belo,hti:10ef6af0
57,incident,18.44772911,-72.30667877,2025-07-22,0,2,0,0,FALSE,2 explosive drones in Godet,2 drones explosifs à Godet,Specialised PNH units mené a attaque using of explosive drones against members of GCO 5 Segonn holed up in the mountains.,Des unités spécialisées de la PNH ont mené une attaque à l’aide de drones explosifs contre des membres du GCO 5 Segonn retranchés dans les montagnes.,,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Godet,hti:6b05aff5
58,incident,18.45088768,-72.29759216,2025-07-24,0,2,0,0,FALSE,2 explosive drones in Via,2 drones explosifs à Via,Specialised PNH units supporting ground units used explosive drones against members of GCO 5 Segonn holed up in hard-to-reach areas.,Des unités spécialisées de la PNH en appui des unités au sol ont utilisé des drones explosifs contre des membres du GCO 5 Segonn retranchés dans des zones difficiles d’accès.,,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Via,hti:4ea52cd7
