id,type,latitude,longitude,date,killedOrWounded,title,description,sources,imageUrl,imageCaption,videoUrl,videoCaption
25,incident,31.504332,34.416062,2024-02-27,5,"3 killed, 2 wounded","Israeli troops opened fire on people waiting for aid on al-Rashid Street in Gaza City. Three killed and a number wounded, according to sources. We recorded two wounded.","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://t.me/QudsN/375851"" target=""_blank"">Quds</a><br><a href=""https://twitter.com/QudsNen/status/1762428404429644168"" target=""_blank"">Quds</a><br><a href=""https://twitter.com/AJA_Palestine/status/1762410095814590567"" target=""_blank"">Al Jazeera</a>",,,,
26,incident,31.504332,34.416062,2024-02-28,3,3 killed,Israeli artillery fire hit people waiting for aid on al-Rashid Street in Gaza City. Sources report at least three killed.,"<a href=""https://twitter.com/QudsNen/status/1762730817703346547"" target=""_blank"">Quds</a><br><a href=""https://english.wafa.ps/Pages/Details/142078"" target=""_blank"">Wafa</a>",,,,
27,incident,31.5027639,34.4145389,2024-02-29,878,"118 killed, 760 wounded","In what became know as ""The Flour Massacre"", Israeli troops opened fire on people waiting for aid near the Nabulsi Roundabout in Gaza City, killing and wounding at least 878 people.","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.washingtonpost.com/world/2024/03/01/gaza-aid-delivery-stampede-shots/"" target=""_blank"">The Washington Post</a><br><a href=""https://www.ohchr.org/en/press-releases/2024/03/un-experts-condemn-flour-massacre-urge-israel-end-campaign-starvation-gaza"" target=""_blank"">OHCHR</a><br><a href=""https://x.com/PalestineRCS/status/1763683153783165010"" target=""_blank"">Palestine Red Crescent Society</a><br><a href=""https://x.com/PalestineRCS/status/1763622533985693803"" target=""_blank"">Palestine Red Crescent Society</a>",,,,
28,incident,31.5027639,34.4145389,2024-03-02,27,"1 killed, 26 wounded",Israeli troops opened fire on people waiting for aid near the Nabulsi Roundabout in Gaza City. ,"<a href=""https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-131"" target=""_blank"">OCHA</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://twitter.com/QudsNen/status/1763961335925117076"" target=""_blank"">Quds</a><br><a href=""https://twitter.com/QudsNen/status/1763872341052772445"" target=""_blank"">Quds</a>",,,,
29,incident,,,2024-03-03,10,"8 killed, 2 wounded",Two Israeli airstrikes in rapid succession hit people gathered around an aid truck. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.aljazeera.net/news/2024/3/3/%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D8%AC%D8%B1%D8%A7%D8%A1-%D9%82%D8%B5%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D9%81"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aljazeera.net/videos/2024/3/3/%D9%82%D8%B5%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%B9%D9%84%D9%89-%D8%B4%D8%A7%D8%AD%D9%86%D8%A9-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A7%D8%AA-%D9%81%D9%8A-%D8%AF%D9%8A%D8%B1"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aljazeera.net/videos/2024/3/3/%d8%b4%d8%a7%d9%87%d8%af-8-%d8%b4%d9%87%d8%af%d8%a7%d8%a1-%d8%a8%d9%82%d8%b5%d9%81-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a-%d8%b9%d9%84%d9%89-%d8%b4%d8%a7%d8%ad%d9%86%d8%a9"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aljazeera.com/news/2024/3/3/several-killed-in-israeli-attack-on-aid-truck-in-gaza-report"" target=""_blank"">Al Jazeera</a><br><a href=""https://english.wafa.ps/Pages/Details/142164"" target=""_blank"">Wafa</a>",,,,
30,incident,31.47977,34.442282,2024-03-03,11,"1 killed, 10 wounded","Israeli shelling and gunfire hits people waiting for aid at the Kuwait Roundabout in Gaza City. Initial reports of tens or dozens wounded. Later sources say one killed, 10 wounded.","<a href=""https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-131"" target=""_blank"">OCHA</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.wafa.ps/pages/details/91276"" target=""_blank"">Wafa</a><br><a href=""https://www.aljazeera.net/videos/2024/3/3/%d9%85%d8%ac%d8%b2%d8%b1%d8%a9-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d8%a9-%d8%ac%d8%af%d9%8a%d8%af%d8%a9-%d8%a8%d8%ad%d9%82-%d9%81%d9%84%d8%b3%d8%b7%d9%8a%d9%86%d9%8a%d9%8a%d9%86"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aa.com.tr/en/middle-east/scores-killed-injured-in-new-israeli-attack-on-gazans-waiting-for-humanitarian-aid/3154214"" target=""_blank"">Anadolu</a>",,,,
31,incident,31.47977,34.442282,2024-03-04,3,"1 killed, 2 wounded","Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City, in the first of two incidents on the same day in the same location. Sources report multiple people wounded. We recorded two. ","<a href=""https://twitter.com/QudsNen/status/1764764328517947686"" target=""_blank"">Quds</a><br><a href=""https://twitter.com/ismail_gh2/status/1764797715848819114"" target=""_blank"">https://twitter.com/ismail_gh2/status/1764797715848819114</a><br><a href=""https://www.middleeastmonitor.com/20240305-palestinians-trying-to-reach-aid-truck-in-gaza-shot-by-israeli-troops/"" target=""_blank"">Middle East Monitor</a><br><a href=""https://edition.cnn.com/2024/03/05/middleeast/israel-fire-palestinians-aid-northern-gaza-intl/index.html"" target=""_blank"">CNN</a><br><a href=""https://www.youtube.com/watch?v=ZUU_JHJmVQw"" target=""_blank"">Al Jazeera</a><br><a href=""https://twitter.com/ytirawi/status/1764758363139690907"" target=""_blank"">Younis Tirawi</a><br><a href=""https://twitter.com/QudsNen/status/1764780395197849617"" target=""_blank"">Quds</a>",,,,
32,incident,31.47977,34.442282,2024-03-04,2,"1 killed, 1 wounded","Israeli troops again opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. Sources report multiple casualties, but it is unclear how many. We recorded one killed and one wounded. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://news.un.org/en/story/2024/03/1147277"" target=""_blank"">UN</a><br><a href=""https://www.bbc.com/news/world-middle-east-68486248"" target=""_blank"">BBC</a><br><a href=""https://twitter.com/RamAbdu/status/1764967737355317376"" target=""_blank"">Ramy Abdu</a>",,,,
33,incident,31.485204,34.398851,2024-03-05,3,"1 killed, 2 wounded","Israeli forces prevented 17 World Food Programme aid trucks from entering Gaza City and forced them to unload south of the Netzarim corridor, then fired on civilians who came to collect aid. Sources report one killed and a number wounded. We recorded one killed and two wounded. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://english.wafa.ps/Pages/Details/142274"" target=""_blank"">Wafa</a><br><a href=""https://www.youtube.com/watch?v=HiuDUCwnVuo"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.wafa.ps/Pages/Details/91448"" target=""_blank"">Wafa</a>",,,,
34,incident,31.47977,34.442282,2024-03-06,10,"1 killed, 9 wounded",Israeli artillery fire hits people waiting for aid at the Kuwait Roundabout in Gaza City. ,"<a href=""https://www.aljazeera.com/news/liveblog/2024/3/7/israels-war-on-gaza-live-20-starve-to-death-in-gaza-more-feared-dead?update=2755594"" target=""_blank"">Al Jazeera</a><br><a href=""https://aje.io/ebcwlv?update=2754290"" target=""_blank"">Al Jazeera</a><br><a href=""https://twitter.com/AJArabic/status/1765550433861341468"" target=""_blank"">Al Jazeera</a><br><a href=""https://english.wafa.ps/Pages/Details/142274"" target=""_blank"">Wafa</a><br><a href=""https://twitter.com/QudsNen/status/1765411366196711866"" target=""_blank"">Quds</a><br><a href=""https://www.wafa.ps/Pages/Details/91448"" target=""_blank"">Wafa</a>",,,,
35,incident,31.5027639,34.4145389,2024-03-06,24,"4 killed, 20 wounded",Israeli troops opened fire on people waiting for aid near the Nabulsi Roundabout in Gaza City. Sources report four or five killed and over 20 wounded. We recorded four killed and 20 wounded. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://english.wafa.ps/Pages/Details/142302"" target=""_blank"">Wafa</a>",,,,
36,incident,31.47977,34.442282,2024-03-07,18,"3 killed, 15 wounded",Israeli troops again opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://twitter.com/ytirawi/status/1765831220431118694"" target=""_blank"">Younis Tirawi</a><br><a href=""https://twitter.com/QudsNen/status/1765863931745034607"" target=""_blank"">Quds</a>",,,,
37,incident,31.5027639,34.4145389,2024-03-07,13,"1 killed, 12 wounded","Israeli tanks and soldiers opened fire on people waiting for aid near the Nabulsi Roundabout in Gaza City. Reports say people were ""lured"" and ""ambushed"".","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://twitter.com/ytirawi/status/1765831220431118694"" target=""_blank"">Younis Tirawi</a><br><a href=""https://twitter.com/QudsNen/status/1765863931745034607"" target=""_blank"">Quds</a>",,,,
38,incident,31.5027639,34.4145389,2024-03-08,4,4 killed,Israeli troops opened fire on people waiting for aid near the Nabulsi Roundabout in Gaza City. Sources initially report nine killed and 58 wounded in incidents at both the Nabulsi and Kuwait roundabouts. Later sources say four killed at the Nabulsi Roundabout. ,"<a href=""https://twitter.com/ytirawi/status/1766037575960011129"" target=""_blank"">Younis Tirawi</a><br><a href=""https://aje.io/bg1i94?update=2759127"" target=""_blank"">Al Jazeera</a><br><a href=""https://x.com/AJA_Palestine/status/1766043898529407213"" target=""_blank"">Al Jazeera</a>",,,,
39,incident,31.47977,34.442282,2024-03-08,4,"2 killed, 2 wounded",Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. Sources initially report nine killed and 58 wounded in incidents at both the Nabulsi and Kuwait roundabouts. Other sources report two killed and a number wounded at the Kuwait Roundabout. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://twitter.com/QudsNen/status/1766211313632502148"" target=""_blank"">Quds</a><br><a href=""https://t.me/QudsN/379675"" target=""_blank"">Quds</a><br><a href=""https://www.youtube.com/watch?v=9xAowFKqEKI"" target=""_blank"">Al Jazeera</a><br><a href=""https://archive.ph/5q030"" target=""_blank"">Al Jazeera</a><br><a href=""https://aja.ws/ti10gk?update=6343846"" target=""_blank"">Al Jazeera</a><br><a href=""https://aja.ws/ti10gk?update=6344428"" target=""_blank"">Al Jazeera</a>",,,,
40,incident,31.47977,34.442282,2024-03-09,21,"1 killed, 20 wounded","Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. One killed and at least 20 wounded, according to sources.","<a href=""https://www.youtube.com/watch?v=75Vra8KpfHI"" target=""_blank"">Al Ghad</a><br><a href=""https://drive.google.com/file/d/1P7yQYp7KC2eG711baOY9Ijwa5nht7a4B/view"" target=""_blank"">Euro-Med Monitor</a><br><a href=""https://www.youtube.com/watch?v=YZuV9jU400s"" target=""_blank"">Al Araby</a><br><a href=""https://t.me/AjaNews/252456"" target=""_blank"">Al Jazeera</a>",,,,
41,incident,31.5027639,34.4145389,2024-03-09,,Number of casualties unclear,Israeli troops opened fire on people waiting for aid near the Nabulsi Roundabout in Gaza City. We were unable to make a casualty estimate based on sources. ,"<a href=""https://www.youtube.com/watch?v=75Vra8KpfHI"" target=""_blank"">Al Ghad</a><br><a href=""https://t.me/hamza20300/221350"" target=""_blank"">https://t.me/hamza20300/221350</a><br><a href=""https://www.youtube.com/watch?v=YZuV9jU400s"" target=""_blank"">Al Ghad</a><br><a href=""https://www.youtube.com/watch?v=YZuV9jU400s"" target=""_blank"">Al Araby</a><br><a href=""https://t.me/AjaNews/252456"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aa.com.tr/ar/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/%D9%82%D8%AA%D9%84%D9%89-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D8%A8%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D9%8A%D9%86%D8%AA%D8%B8%D8%B1%D9%88%D9%86-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A7%D8%AA-%D8%A8%D8%BA%D8%B2%D8%A9/3160135"" target=""_blank"">Anadolu</a>",,,,
